season,year,amazon_lobby,facebook_lobby,google_lobby,apple_lobby,microsoft_lobby,amazon_link,facebook_link,google_link,apple_link,microsoft_link
2015 1st Quarter - Report,2015,1910000.0,2440000.0,5470000.0,1240000.0,1890000.0,https://lda.senate.gov//filings/public/filing/c16a28ec-8726-42f8-813a-f39a87af0a9f/print/,https://lda.senate.gov//filings/public/filing/d4922577-11f3-4933-bccf-2368989df4d5/print/,https://lda.senate.gov//filings/public/filing/0c714fc6-1080-4f9c-acdb-dca892e6997d/print/,https://lda.senate.gov//filings/public/filing/5b29be07-d197-4717-8fc6-ace75334b80d/print/,https://lda.senate.gov//filings/public/filing/e3973a1f-4d52-42ad-8d21-f8e8a6d7cb57/print/
2015 1st Quarter - Amendment,2015,0.0,0.0,5100000.0,0.0,0.0,0,0,https://lda.senate.gov//filings/public/filing/c39d04e4-bf51-4b03-92d5-184fe2312dbe/print/,0,0
2014 4th Quarter - Report,2014,1670000.0,1990000.0,3780000.0,1190000.0,2250000.0,https://lda.senate.gov//filings/public/filing/a310e434-0303-4af5-834d-607238a87528/print/,https://lda.senate.gov//filings/public/filing/5146beb7-6842-4c48-966b-d36ef3a78e1c/print/,https://lda.senate.gov//filings/public/filing/33d2a369-a146-41b4-bfe9-36b60c0f6512/print/,https://lda.senate.gov//filings/public/filing/e8908801-3837-4b83-9c96-fa19dcb571fc/print/,https://lda.senate.gov//filings/public/filing/6ce9e3cc-552f-41e2-b589-0130f06bba68/print/
2014 3rd Quarter - Report,2014,1180000.0,2450000.0,3940000.0,1010000.0,1660000.0,https://lda.senate.gov//filings/public/filing/058ba22d-ea6a-4ec5-a387-2f7e42bd216f/print/,https://lda.senate.gov//filings/public/filing/7c27b88f-f2d0-449c-9311-9477dfba99b3/print/,https://lda.senate.gov//filings/public/filing/82763eb2-6a98-4ae3-b7dd-39c4a16f7a5f/print/,https://lda.senate.gov//filings/public/filing/03721bfe-d622-4764-8354-0681f7df8d4d/print/,https://lda.senate.gov//filings/public/filing/592cc79e-0836-4430-ac25-f76a4cf183cd/print/
2014 2nd Quarter - Report,2014,1060000.0,2120000.0,5030000.0,840000.0,2340000.0,https://lda.senate.gov//filings/public/filing/e05ca871-730a-49d9-8472-19218cbd7315/print/,https://lda.senate.gov//filings/public/filing/06a0b6e9-9651-45e9-a7cf-9e0d46012247/print/,https://lda.senate.gov//filings/public/filing/fe1b9aa6-2419-4596-84b0-d8a6145ef757/print/,https://lda.senate.gov//filings/public/filing/5bd07e49-ce66-447d-aa3a-d9473d16dd8b/print/,https://lda.senate.gov//filings/public/filing/14d296e1-1713-4812-adc7-551e91f102ca/print/
2014 2nd Quarter - Amendment,2014,0.0,0.0,5290000.0,0.0,0.0,0,0,https://lda.senate.gov//filings/public/filing/1a0e35ce-e814-4642-a48b-0445555af330/print/,0,0
2014 1st Quarter - Report,2014,830000.0,2780000.0,3820000.0,1070000.0,2080000.0,https://lda.senate.gov//filings/public/filing/c44abdcf-b6ff-40f3-a8e3-bce8ddcd21de/print/,https://lda.senate.gov//filings/public/filing/e9947ef4-1ad0-4c6e-aff4-5d4f8fb7c415/print/,https://lda.senate.gov//filings/public/filing/cf5f1b0b-f8b5-4bf7-a1e5-5c13b166b19b/print/,https://lda.senate.gov//filings/public/filing/2471c297-e757-457a-bedd-5275b9551938/print/,https://lda.senate.gov//filings/public/filing/1541df52-b988-4186-8713-369765e6d7dd/print/
2013 4th Quarter - Report,2013,960000.0,1480000.0,3980000.0,990000.0,2770000.0,https://lda.senate.gov//filings/public/filing/f59b7a18-a5e9-4107-b51f-b489d7a27066/print/,https://lda.senate.gov//filings/public/filing/1390adba-4945-4b83-ad7d-c8e09b0a1372/print/,https://lda.senate.gov//filings/public/filing/8c0b78d6-f646-4b03-8901-05fae0adfbdf/print/,https://lda.senate.gov//filings/public/filing/e961c1cd-e1f6-434c-9cdc-d7098b604d46/print/,https://lda.senate.gov//filings/public/filing/a3cce9f5-9a94-4035-80c5-36c1b2c82b69/print/
2013 3rd Quarter - Report,2013,780000.0,1440000.0,3370000.0,970000.0,2230000.0,https://lda.senate.gov//filings/public/filing/72477a97-5625-45ad-9dfa-c3461bb4e5ea/print/,https://lda.senate.gov//filings/public/filing/19b20cd2-4c2f-4f41-ab05-8622779a918a/print/,https://lda.senate.gov//filings/public/filing/a36c2662-c1c5-47c9-816b-718c90ebb300/print/,https://lda.senate.gov//filings/public/filing/0196269c-0c21-49ea-aa65-ee078bfa1f1b/print/,https://lda.senate.gov//filings/public/filing/e106dded-6546-4a9e-b1df-bf282b434f3b/print/
2013 2nd Quarter - Report,2013,860000.0,1060000.0,3360000.0,690000.0,2960000.0,https://lda.senate.gov//filings/public/filing/26fea122-15fc-41c9-941f-478036ed8e4d/print/,https://lda.senate.gov//filings/public/filing/9f11cfa2-ea4b-422a-a026-51b0f14e883b/print/,https://lda.senate.gov//filings/public/filing/999c7d0c-8eb1-44c9-993f-a3cf969d90e8/print/,https://lda.senate.gov//filings/public/filing/c9c15a6f-182f-492b-a104-71c2df94d786/print/,https://lda.senate.gov//filings/public/filing/f43f5de8-0f33-4103-aef1-afb81d8f2255/print/
2013 1st Quarter - Report,2013,856831.0,2450000.0,3350000.0,720000.0,2530000.0,https://lda.senate.gov//filings/public/filing/87c1525f-8af5-4b18-9a1b-ab4c6b5a4c33/print/,https://lda.senate.gov//filings/public/filing/bee30eb0-bf20-47cd-b00d-f5f2a9d10aa6/print/,https://lda.senate.gov//filings/public/filing/4cb55b30-1f79-4ea9-961b-985b73b6917e/print/,https://lda.senate.gov//filings/public/filing/242ad532-4064-4c1c-a408-5eb65c25bb9e/print/,https://lda.senate.gov//filings/public/filing/c696210e-819c-412a-98ae-78d4b9fd187b/print/
2012 4th Quarter - Report,2012,610000.0,1400000.0,3350000.0,540000.0,2430000.0,https://lda.senate.gov//filings/public/filing/5445c45e-4666-443a-b06a-76783626c859/print/,https://lda.senate.gov//filings/public/filing/3e77cac4-4b25-4ede-84d7-80304f7cb24d/print/,https://lda.senate.gov//filings/public/filing/5e1012c0-6d42-4bb7-b363-f8649ba4edda/print/,https://lda.senate.gov//filings/public/filing/2a14a8ba-3b99-4bf4-a45d-31a341c9f092/print/,https://lda.senate.gov//filings/public/filing/6e13e7d9-8d00-460b-81f1-a4ec8821c531/print/
