,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
encryption data,0.007133036127444852,0.007026092835057403,0.005321583186098505,0.005793804406037752,0.006112021587694893,0.0068850946474912356,0.008715788370417615,0.008906648033891565,0.00919546595050438,0.008059296084083312,0.010626367494810569,0.012845762021793494,0.013976442302520013,0.01359567506086627,0.013978285975492298,0.013177107265206494,0.013386442957724077,0.014709875846930362,0.01383477381118997,0.01383477381118997,0.01383477381118997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
education job,0.007133036127444852,0.007026092835057403,0.005321583186098505,0.005793804406037752,0.006112021587694893,0.0068850946474912356,0.008715788370417615,0.008906648033891565,0.00919546595050438,0.008059296084083312,0.010626367494810569,0.012845762021793494,0.013976442302520013,0.01359567506086627,0.013978285975492298,0.013177107265206494,0.013386442957724077,0.014709875846930362,0.01383477381118997,0.01383477381118997,0.01383477381118997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
innovation technology,0.006943188165484772,0.006839091201889482,0.005179947604246527,0.0056396005104133486,0.00594934824339269,0.00670184572467992,0.008483814968147483,0.008669594842667118,0.0089507257811311,0.007844795426991567,0.010343543438422214,0.012503868093865882,0.013604454969331423,0.013233821965541834,0.013606249572377514,0.012826394481178447,0.013030158639516207,0.014318367953190603,0.013466557028699908,0.013466557028699908,0.013466557028699908,0.014983323848024163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
financial innovation,0.006943188165484772,0.006839091201889482,0.005179947604246527,0.0056396005104133486,0.00594934824339269,0.00670184572467992,0.008483814968147483,0.008669594842667118,0.0089507257811311,0.007844795426991567,0.010343543438422214,0.012503868093865882,0.013604454969331423,0.013233821965541834,0.013606249572377514,0.012826394481178447,0.013030158639516207,0.014318367953190603,0.013466557028699908,0.013466557028699908,0.013466557028699908,0.014983323848024163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
veterans hiring,0.006943188165484772,0.006839091201889482,0.005179947604246527,0.0056396005104133486,0.00594934824339269,0.00670184572467992,0.008483814968147483,0.008669594842667118,0.0089507257811311,0.007844795426991567,0.010343543438422214,0.012503868093865882,0.013604454969331423,0.013233821965541834,0.013606249572377514,0.012826394481178447,0.013030158639516207,0.014318367953190603,0.013466557028699908,0.013466557028699908,0.013466557028699908,0.014983323848024163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hiring training,0.006943188165484772,0.006839091201889482,0.005179947604246527,0.0056396005104133486,0.00594934824339269,0.00670184572467992,0.008483814968147483,0.008669594842667118,0.0089507257811311,0.007844795426991567,0.010343543438422214,0.012503868093865882,0.013604454969331423,0.013233821965541834,0.013606249572377514,0.012826394481178447,0.013030158639516207,0.014318367953190603,0.013466557028699908,0.013466557028699908,0.013466557028699908,0.014983323848024163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
air cargo,0.006943188165484772,0.006839091201889482,0.005179947604246527,0.0056396005104133486,0.00594934824339269,0.00670184572467992,0.008483814968147483,0.008669594842667118,0.0089507257811311,0.007844795426991567,0.010343543438422214,0.012503868093865882,0.013604454969331423,0.013233821965541834,0.013606249572377514,0.012826394481178447,0.013030158639516207,0.014318367953190603,0.013466557028699908,0.013466557028699908,0.013466557028699908,0.014983323848024163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terminal dues,0.006419568861442268,0.006323322351893674,0.004789302774397986,0.005214291038171182,0.005500679200805354,0.006196427218005743,0.007844009567030776,0.008015778885263796,0.008275708383865455,0.007253181571233368,0.009563486944564843,0.011560891099277661,0.012578477410732225,0.012235795629187227,0.01258013667410789,0.011859094216294965,0.012047491536771697,0.013238550773534679,0.012450979018835585,0.012450979018835585,0.012450979018835585,0.013853359137497254,0.014021436841867397,0.015521422772004646,0.015925750053877214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
postal rates,0.006419568861442268,0.006323322351893674,0.004789302774397986,0.005214291038171182,0.005500679200805354,0.006196427218005743,0.007844009567030776,0.008015778885263796,0.008275708383865455,0.007253181571233368,0.009563486944564843,0.011560891099277661,0.012578477410732225,0.012235795629187227,0.01258013667410789,0.011859094216294965,0.012047491536771697,0.013238550773534679,0.012450979018835585,0.012450979018835585,0.012450979018835585,0.013853359137497254,0.014021436841867397,0.015521422772004646,0.015925750053877214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
office modernization,0.006419568861442268,0.006323322351893674,0.004789302774397986,0.005214291038171182,0.005500679200805354,0.006196427218005743,0.007844009567030776,0.008015778885263796,0.008275708383865455,0.007253181571233368,0.009563486944564843,0.011560891099277661,0.012578477410732225,0.012235795629187227,0.01258013667410789,0.011859094216294965,0.012047491536771697,0.013238550773534679,0.012450979018835585,0.012450979018835585,0.012450979018835585,0.013853359137497254,0.014021436841867397,0.015521422772004646,0.015925750053877214,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
