,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
protections providing,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
property patent,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015271898300278077,0.015271898300278077,0.015440192977913006,0.015607921932467938,0.01600348054649762,0.01653807638225456,0.01728100820707784,0.02107594645202412,0.017412301349364792,0.01720886863855834,0.019000349238320724,0.025441931595623673,0.029820728861433256,0.05301949128850222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
providing transparency,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
treaty mlat,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013405519004760197,0.01386057818048821,0.014086757846897493,0.014086757846897493,0.014595073123004789,0.014846076246060654,0.02179982852658244,0.023472782907903444,0.012769124517405521,0.012769124517405521,0.012909838896985819,0.013050080264743432,0.013380814342273622,0.013827800084258463,0.014448979507574755,0.017621999523344575,0.014558756199979326,0.014388662242821844,0.01588655323181996,0.021272482707792587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
public 116,0.0,0.0,0.13362330141675657,0.08773216351348413,0.08229172112797338,0.08464225420595162,0.08464225420595162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
programs additional,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reform government,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
procedural privacy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
terrorism comprehensive,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02023015652137957,0.020756269436735884,0.021872645331653253,0.014187069742540043,0.014668659173038308,0.014908025265507649,0.014908025265507649,0.015445975662711366,0.01571161243597799,0.023070773132485036,0.02484126187487995,0.013513573030278263,0.013513573030278263,0.013662491152446832,0.013810908685886603,0.014160924781681872,0.014633970091841678,0.015291364691639695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
relevant technology,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.043129295624880624,0.051286913875130576,0.09355216703231793,0.0714663008648119,0.05052731440464908,0.05052731440464908,0.0,0.0,0.0,0.0,0.0
track online,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01177588099750303,0.01177588099750303,0.011905649940261508,0.01203498266431707,0.012339990664944336,0.012752207720077539,0.013325068839655414,0.016251276196899714,0.013426306576376801,0.01326944333997006,0.014650821210444294,0.019617807356091515,0.02299421770800084,0.0408823584131766,0.04861498349486693,0.08867831406776357,0.06774307078489969,0.04789495741160373,0.04789495741160373,0.051662116880884214,0.051662116880884214,0.05412403895729402,0.13140509885036866,0.0
stored abroad,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03515783329483139,0.03515783329483139,0.03554526883849189,0.03593140201637269,0.03684202776419716,0.038072734707374704,0.03978305733610032,0.048519483126571436,0.020042655342629806,0.019808491481902727,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
security breach,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026264078571128894,0.026264078571128894,0.02655350589375755,0.02684196030554497,0.027522228227324756,0.028441607518494005,0.014859637892257029,0.0,0.029945069155912562,0.029595212668165973,0.03267613858226505,0.02187707373668733,0.025642325219345948,0.045590536867874204,0.054213682463081066,0.0,0.0,0.053410735251399125,0.053410735251399125,0.05761173610696715,0.05761173610696715,0.06035718312976462,0.0,0.0
surveillance programs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013042244662874016,0.013484972251699414,0.01370502270599586,0.01370502270599586,0.014199563215357236,0.014443764438814352,0.021209077929129728,0.022836697146503392,0.012423095743444884,0.012423095743444884,0.012559996923132078,0.012696437909079837,0.013018209468686518,0.01345308240465509,0.01405742857100324,0.017144463347588276,0.01416423043970471,0.013998745835629586,0.015456045679812475,0.02069602258318164,0.024258003982265252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
