,2021 2nd Quarter - Report,2021 1st Quarter - Report,2020 4th Quarter - Report,2020 3rd Quarter - Report,2020 2nd Quarter - Report,2020 1st Quarter - Report,2019 4th Quarter - Report,2019 3rd Quarter - Report,2019 2nd Quarter - Report,2019 1st Quarter - Report,2018 4th Quarter - Report,2018 3rd Quarter - Report,2018 2nd Quarter - Report,2018 1st Quarter - Report,2017 4th Quarter - Report,2017 3rd Quarter - Report,2017 2nd Quarter - Report,2017 1st Quarter - Report,2016 4th Quarter - Report,2016 3rd Quarter - Report,2016 2nd Quarter - Report,2016 1st Quarter - Report,2015 4th Quarter - Report,2015 3rd Quarter - Report,2015 2nd Quarter - Report,2015 1st Quarter - Report,2014 4th Quarter - Report,2014 3rd Quarter - Report,2014 2nd Quarter - Report,2014 1st Quarter - Report,2013 4th Quarter - Report,2013 3rd Quarter - Report,2013 2nd Quarter - Report,2013 1st Quarter - Report,2012 4th Quarter - Report,2012 3rd Quarter - Report,2012 2nd Quarter - Report,2012 1st Quarter - Report,2011 4th Quarter - Report,2011 3rd Quarter - Report,2011 2nd Quarter - Report,2011 1st Quarter - Report
music licensing,0.0,0.0,0.0,0.0,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.022332786658947706,0.028634099537764118,0.025064982098779505,0.022744412191981523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobile workforce,0.0,0.0,0.0,0.0,0.020361521176352055,0.020361521176352055,0.019919509198635492,0.019074336422710683,0.01775574268550016,0.01775574268550016,0.01775574268550016,0.01810609815130118,0.017513370012072003,0.01727370412599436,0.017636846412455408,0.018016889331500374,0.0,0.0,0.02231783739426484,0.020251604047764125,0.039409425202783115,0.040604427142199605,0.040604427142199605,0.04618019041922002,0.043766180166651784,0.023637654778076445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobile technology,0.0,0.0,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.022332786658947706,0.028634099537764118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
workforce training,0.0,0.0,0.023869136191843304,0.024575330428621363,0.023586928122245006,0.023586928122245006,0.023074898364876955,0.02209584432741293,0.020568376146983047,0.020568376146983047,0.020568376146983047,0.020974230361779235,0.020287609951892188,0.020009979318144015,0.02043064587516198,0.020870890242822127,0.023035030452952587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mobile medical,0.0,0.0,0.03430422941148259,0.03531915717898931,0.03389864580412189,0.03389864580412189,0.03316276721509018,0.031755690979173384,0.014780222633462714,0.014780222633462714,0.014780222633462714,0.01507186527985105,0.014578466945909236,0.01437896444034711,0.01468125108284853,0.014997606137843933,0.01655273493786098,0.021223175910429354,0.018577798249691285,0.016857825764456713,0.016402582777615957,0.01689995410769327,0.01689995410769327,0.019220640548287687,0.01821590620390126,0.019676439692844203,0.0,0.032471215444147265,0.0,0.0,0.0,0.0,0.0,0.0,0.016576204048731582,0.013760638678565541,0.0,0.0,0.0,0.0,0.0,0.0
programming spectrum,0.0,0.036049789581914106,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.022332786658947706,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
protection export,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.020568376146983047,0.020568376146983047,0.020568376146983047,0.020974230361779235,0.020287609951892188,0.020009979318144015,0.02043064587516198,0.020870890242822127,0.023035030452952587,0.029534485101124004,0.025853138471493484,0.023459599353979,0.022826076488740334,0.02351822577873778,0.02351822577873778,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tax simplification,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0333332167606406,0.060494311841187656,0.0882910084088746,0.06064548941110169,0.06064548941110169,0.06897327326558496,0.06536778382726044,0.03530445430314367,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reform general,0.0,0.0,0.0,0.01956457818118061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01615109640808028,0.015930072879821598,0.016264968224032346,0.01661544958886804,0.018338335491017405,0.023512593024136597,0.020581849360012748,0.018676337516323038,0.01817198589987062,0.018723010389105264,0.018723010389105264,0.021294037272386882,0.020180918772279573,0.021799005041204203,0.03653642541319431,0.03597399733948905,0.03598936612763704,0.03830617543042497,0.04580068638109923,0.03830617543042497,0.03830617543042497,0.039221005701691534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
technology industry,0.0,0.0,0.023141463927931417,0.023826129192948305,0.022867859227271498,0.022867859227271498,0.022371439161420547,0.021422232474200262,0.019941330546523445,0.019941330546523445,0.019941330546523445,0.020334811927509258,0.01966912376351896,0.01939995695142596,0.01980779910694749,0.020234622225798506,0.022332786658947706,0.028634099537764118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
